número_pregunta,pregunta,salida_llm,nombre_variante
1,where did the vietnam war mainly take place,"Vietnam, Laos, and Cambodia",rag
2,when was krakauer considered a success as a writer,Between nineteen eighty four and two thousand five,rag
3,who played mrs garrett's son on facts of life,Charlotte Rae Kim Fields Gary Coleman Raymond Garrett Larry Williamson Richard Garrett Charles Rae,rag
4,when is the men's ice hockey winter olympics 2018,February 14-25 2018 February 9-25 February 9 and February 25 2018 February 10-22 2018 February 12-27 2018,rag
5,according to the bmw of north america v. gore case excessive punitive damages violate what,Due Process Clause of the Fourteenth Amendment,rag
6,who made the film society of the spectacle,Guy Debord,rag
7,when did the queen became the queen of the uk,"February 6, 1952",rag
8,how many times does a hummingbird heartbeat per minute,1260 beats per minute,rag
9,when were each of the harry potter books released,1997 1998 2000 2006 2007 2017 June 1997,rag
10,when did the first papa john's open,1857 1876 1879 1883 1884 1885 1886 1887 1888 1889 1891 1892 1903 1904 1905 1907 1908 1909 1913 1921 1922 1923 1924 1926 1927 1928 1931 1933 1936 1961 1978 1998,rag
11,who plays kyle wren in star wars 7,Brad Pitt Jessica Lange Adrien Brody Bradley Cooper Luke Skywalker Ryan Reynolds Harrison Ford Christopher Lee,rag
12,who did the song play that funky music white boy,Wild Cherry,rag
13,what's the zip code for sioux falls south dakota,57101 57103 57104 59109 59110 63168 63801 65445 66858 45069 04058 1037 -55807-080-6560-5560 -58009 93746.756,rag
14,when did the packers stop playing in milwaukee,1994,rag
15,when did lionel messi score his first goal,"May first, 2005 17 August 2005 20 years ago 1987 1990 2006-07 season February 23, 1892 1896",rag
16,who wins season 12 of america's next top model,Teyona Anderson from New Jersey,rag
17,what year did the first love island start,1960 1971 1980 1888 1890 1894 1876 1878 1952 1931 2005 2014 2011 1865 1848 1821 1824 1830 1840 1854 1903 1948 1994 2015 2019,rag
18,what time does the ap poll come out on sunday,2 p.m. Eastern Time,rag
19,who won coach trip road to ibiza 2016,Michael Toland and Justin Farage won Coach Trip Road to Ibiza 2016 Ben Clarke and Ryan O'Sullivan won Coach Trip Road to Ibiza 2016 Michael Osborn won Coach Trip Road to Ibiza 2016 X Factor and Coach Trip to Ibiza 2016 won Coach Trip Road to Ibiza 2016 The United States won Coach Trip Road to Ibiza 2016 The Beatles won Coach Trip Road to Ibiza 2016,rag
20,when is a thousand splendid suns movie coming out,July 5 2013 April 26 2015 May 27 2018 June 15 2018 December 21 2018 August 25 2019 2020,rag
21,who won the olympics in make it or break it,United States,rag
22,who plays miranda bailey in grey's anatomy,Chandra Danette Wilson plays Miranda Bailey in Grey's Anatomy,rag
23,how many times have arsenal won the pl,Arsenal have won the Premier League three times since 1992 Arsenal have won the Premier League six times Arsenal have won the Premier League twice Arsenal have won the Premier League title only once Arsenal last won the Premier League title in 2003/04,rag
24,when did the battle of waterloo start and end,"June 18, 1815",rag
25,what does the hmr stand for in .17hmr,High Resolution Relay,rag
26,who does the care standards act 2000 protect,individuals and entities children and vulnerable adults people with incapacity in Scotland Medicaid patients the public people in need all service providers,rag
27,when was fathers day made a national holiday,1972 1969 1948 1964 1931 1924 1927 1910 1903,rag
28,who sings the song out of my head,Justin Timberlake John Mayer Jimmy Fallon Bill Pullman A J Miller Shane Codd The X-Men The Vampires Billie Jean King The Smashing Pumpkins Kylie Minogue Fastball,rag
29,who wrote the theme song to hawaii 5-0,Morton Stevens wrote the theme song to Hawaii Five-O Dave Cummings wrote the theme song to Hawaii 5-0 John Ames Junior and Paul McCartney wrote the theme song to Hawaii Five-O The Walt Disney Company wrote the theme song to Hawaii 5-0 Moore Stevens wrote the theme song to Hawaii Five-O Ida Lupino wrote the song Hawaii 5-0 Steve Schwartz and Joe Gibbs wrote the theme song to Hawaii 5-0 Mark Hamlin and Scott Wilson wrote the theme song to Hawaii 5-0 Michael Jackson and James Dean wrote the theme song to Hawaii 5-0,rag
30,when did south korea separate from north korea,"January 5, 1945 August 15, 1948 September 9, 1948 October 3, 1945 1939 1948 1967 1980 1865 1991 February 1, 1953",rag
31,what type of basketball is used in the nba,Spalding NBA Official Game Ball,rag
32,who played penny's mother on good times,Mary Ellen Crawford Cynthia Bailey Michelle Binoche Betty Moore Cynthia Ann McKay Esther Rolle Bette Davis Willona Woods Linella Gordon Chip Fields,rag
33,who plays treasure in how i met your mother,Helen Hunt Jennifer Lopez Jessica Simpson Gemma Watts Grace McDowell Shelby Carter Bays Barney,rag
34,how many superbowls did the green bay packers win,"Green Bay Packers have won four Super Bowls in 1966, 1967, 1996 and 2010",rag
35,who played seven of nine on star trek voyager,Jeri Ryan,rag
36,how many players does the nba draft each year,Sixty players are selected in each draft,rag
37,who plays the voice of roberta on the cleveland show,Paula Ryan Laura Schramm Kristen Wise Stephen Frye Roberta Elaine d'alaveras Jane d'alaveras Lori Lynn Lennox-Smith Elizabeth Leigh Lennox-Smith Yvette Eberhardt Tyler Shelton Amy Oldfield Bryan DeWolfe Miranda Russell Brian Lewis Kate Winslet Richard Appel Mike Henry Roberta Williamson Freddie Prinze John Dezsoe Sarah Jessica Parker Jessi Leigh,rag
38,where did the bombing of pearl harbor happen,"Oahu, Hawaii Pearl Harbor, California United States Hawaiian island of Oahu Japan Pearl Harbor",rag
39,when did ohio state get a football team,1890 1976 1981 1983 1986 1954 1973,rag
40,who has had a quadruple double in the nba,Nate Thurmond Alvin Robertson Hakeem Olajuwon David Robinson Stephen Curry Larry Johnson Wilt Chamberlain,rag
41,season 5 episode 25 release date steven universe,September 5 2018,rag
42,when did pip agree to meet the convict,Pip agreed to meet the convict in February eighteen ninety nine Pip agreed to meet the convict early the next morning Pip agreed to meet the convict after being beaten up in the churchyard Pip agreed to meet the convict in the spring of eighteen seventy nine Pip agreed to meet the convict in the fall of eighteen ninety eight Ramona Halvorson and Pip agreed to meet the convict at a nearby restaurant,rag
43,where does the new karate kid take place,United States of America China Japan California New York San Fernando Valley Los Angeles,rag
44,what is the largest city in central america,Mexico City is the largest city in Central America Guatemala City is the largest city in Central America Panama City Panama is the largest city in Central America San Salvador is the largest city in Central America Washington D.C. is the largest city in central america,rag
45,when was maryland drinking age changed to 21,"July 1, 1982",rag
46,who played the president in iron man 3,William Sadler,rag
47,who sings the cold never bothered me anyway,Idina Menzel sings the song Elsa sings the song,rag
48,hills like white elephants what kind of operation are the characters discussing,abortion,rag
49,names of the spanish speaking countries in the caribbean,Cuba Dominican Republic Puerto Rico,rag
50,when did nigeria adopt the presidential system of government,1979,rag
51,nadal and federer are names related to which sport,tennis,rag
